CODE	NAAM	NATUUR	SOORT
100000	Geplaatst kapitaal	credit	Passief (eigen vermogen / schuld LT)
101000	Niet-opgevraagd kapitaal (-)	debet	Passief (eigen vermogen / schuld LT)
110000	Uitgifte premies	credit	Passief (eigen vermogen / schuld LT)
121000	HWMW op materiële vaste activa	credit	Passief (eigen vermogen / schuld LT)
122000	HWMW op financiële vaste activa	credit	Passief (eigen vermogen / schuld LT)
130000	Wettelijke reserve	credit	Passief (eigen vermogen / schuld LT)
131000	Onbeschikbare reserves	credit	Passief (eigen vermogen / schuld LT)
131100	Andere onbeschikbare reserves	credit	Passief (eigen vermogen / schuld LT)
132000	Belastingvrije reserves	credit	Passief (eigen vermogen / schuld LT)
133000	Beschikbare reserves	credit	Passief (eigen vermogen / schuld LT)
140000	Overgedragen winst	credit	Passief (eigen vermogen / schuld LT)
141000	Overgedragen verlies (-)	debet	Passief (eigen vermogen / schuld LT)
150000	Kapitaalsubsidies	credit	Passief (eigen vermogen / schuld LT)
160000	Voorzieningen pensioenen	credit	Passief (eigen vermogen / schuld LT)
162000	Voorzieningen herstellingswerken	credit	Passief (eigen vermogen / schuld LT)
163000	Voorzieningen voor overige risico's en kosten	credit	Passief (eigen vermogen / schuld LT)
168000	Uitgestelde belastingen	credit	Passief (eigen vermogen / schuld LT)
170000	Schulden op meer dan één jaar	credit	Passief (eigen vermogen / schuld LT)
171000	Niet-achtergestelde obligatieleningen	credit	Passief (eigen vermogen / schuld LT)
172000	Leasing- en soortgelijke schulden	credit	Passief (eigen vermogen / schuld LT)
173000	Kredietinstellingen	credit	Passief (eigen vermogen / schuld LT)
174000	Overige leningen	credit	Passief (eigen vermogen / schuld LT)
176000	Ontvangen vooruitbetalingen op bestellingen	credit	Passief (eigen vermogen / schuld LT)
178000	Borgtochten ontvangen in contanten	credit	Passief (eigen vermogen / schuld LT)
179000	Overige schulden	credit	Passief (eigen vermogen / schuld LT)
200000	Kosten van oprichting en kapitaalverhoging	debet	Actief (vaste activa / voorraden)
201000	Kosten bij uitgifte van leningen	debet	Actief (vaste activa / voorraden)
202000	Overige oprichtingskosten	debet	Actief (vaste activa / voorraden)
204000	Herstructureringskosten	debet	Actief (vaste activa / voorraden)
210000	Kosten van onderzoek en ontwikkeling	debet	Actief (vaste activa / voorraden)
210900	Geboekte afschrijvingen of waardeverm	credit	Actief (vaste activa / voorraden)
211000	Concessies, octrooien, licenties, know-how	debet	Actief (vaste activa / voorraden)
211900	Geboekte afschrijvingen of waardeverm	credit	Actief (vaste activa / voorraden)
212000	Goodwill	debet	Actief (vaste activa / voorraden)
212900	Geboekte afschrijvingen of waardeverm	credit	Actief (vaste activa / voorraden)
213000	Vooruitbetalingen	debet	Actief (vaste activa / voorraden)
220000	Terreinen AW	debet	Actief (vaste activa / voorraden)
220800	Geboekte waardevermeerdering	credit	Actief (vaste activa / voorraden)
220900	Geboekte waardevermindering	credit	Actief (vaste activa / voorraden)
221000	Gebouwen AW	debet	Actief (vaste activa / voorraden)
221800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
221890	Geboekte afschrijving vd geboekte meerwaarde	debet	Actief (vaste activa / voorraden)
221900	Geboekte afschrijvingen (vd aanschafwaarde)	credit	Actief (vaste activa / voorraden)
230000	Installaties AW	debet	Actief (vaste activa / voorraden)
230800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
230890	Geboekte afschrijving vd geboekte meerwaarde	debet	Actief (vaste activa / voorraden)
230900	Geboekte afschrijvingen (vd aanschafwaarde)	credit	Actief (vaste activa / voorraden)
231000	Machines AW	debet	Actief (vaste activa / voorraden)
231800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
231890	Geboekte afschrijving vd geboekte meerwaarde	debet	Actief (vaste activa / voorraden)
231900	Geboekte afschrijvingen (vd aanschafwaarde)	credit	Actief (vaste activa / voorraden)
232000	Uitrusting	debet	Actief (vaste activa / voorraden)
232800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
232890	Geboekte afschrijving vd geboekte meerwaarde	debet	Actief (vaste activa / voorraden)
232900	Geboekte afschrijvingen (vd aanschafwaarde)	credit	Actief (vaste activa / voorraden)
238900	Geboekte waardevermindering (-)	credit	Actief (vaste activa / voorraden) [EIGEN/leerkracht]
240000	Meubilair en rollend materieel	debet	Actief (vaste activa / voorraden)
240900	Geboekte afschrijvingen (vd aanschafwaarde)	credit	Actief (vaste activa / voorraden)
241000	Rollend materieel	debet	Actief (vaste activa / voorraden)
241900	Geboekte afschrijvingen (vd aanschafwaarde)	credit	Actief (vaste activa / voorraden)
250000	Vaste activa in leasing	debet	Actief (vaste activa / voorraden)
250900	Geboekte afschrijvingen	credit	Actief (vaste activa / voorraden)
251000	Installaties, machines en uitrusting	debet	Actief (vaste activa / voorraden)
251900	Geboekte afschrijvingen	credit	Actief (vaste activa / voorraden)
252000	Meubilair en rollend materieel	debet	Actief (vaste activa / voorraden)
252900	Geboekte afschrijvingen	credit	Actief (vaste activa / voorraden)
260000	Andere materiële vaste activa	debet	Actief (vaste activa / voorraden)
260900	Geboekte afschrijvingen	credit	Actief (vaste activa / voorraden)
270000	Vaste activa in aanbouw en vooruitbetaling	debet	Actief (vaste activa / voorraden)
280000	Deelnemingen in verbonden ondernemingen	debet	Actief (vaste activa / voorraden)
280100	Nog te storten bedragen (-)	credit	Actief (vaste activa / voorraden)
280800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
280900	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
281000	Vorderingen op verbonden ondernemingen	debet	Actief (vaste activa / voorraden)
281700	Dubieuze debiteuren	debet	Actief (vaste activa / voorraden)
281900	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
282000	Deelnemingen deelnemingsverhouding	debet	Actief (vaste activa / voorraden)
282100	Nog te storten bedragen (-)	credit	Actief (vaste activa / voorraden)
282800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
282900	Geboekte waardeverm deelnemingsverhouding(-)	credit	Actief (vaste activa / voorraden)
283000	Vorderingen op rekening	debet	Actief (vaste activa / voorraden)
283700	Dubieuze debiteuren	debet	Actief (vaste activa / voorraden)
283800	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
284000	Andere aandelen	debet	Actief (vaste activa / voorraden)
284100	Nog te storten bedragen (-)	credit	Actief (vaste activa / voorraden)
284800	Geboekte meerwaarden	debet	Actief (vaste activa / voorraden)
284900	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
285200	Vastrentende effecten	debet	Actief (vaste activa / voorraden)
288000	Borgtochten betaald in contanten	debet	Actief (vaste activa / voorraden)
300000	Grondstoffen	debet	Actief (vaste activa / voorraden)
309000	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
310000	Hulpstoffen	debet	Actief (vaste activa / voorraden)
319000	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
320000	Goederen in bewerking	debet	Actief (vaste activa / voorraden)
329000	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
330000	Gereed product	debet	Actief (vaste activa / voorraden)
340000	Handelsgoederen (HG)	debet	Actief (vaste activa / voorraden)
349000	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
360000	Vooruitbetalingen	debet	Actief (vaste activa / voorraden)
369000	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
370000	Bestellingen in uitvoering	debet	Actief (vaste activa / voorraden)
379000	Geboekte waardeverm (-)	credit	Actief (vaste activa / voorraden)
400000	Klanten	debet	Actief (vordering KT)
404000	Te innen opbrengsten	debet	Actief (vordering KT)
404200	Op te stellen facturen	debet	Actief (vordering KT) [EIGEN/leerkracht]
406000	Vooruitbetalingen	debet	Actief (vordering KT)
407000	Dubieuze debiteuren	debet	Actief (vordering KT)
409000	Geboekte waardeverminderingen (-)	credit	Actief (vordering KT)
409100	Geboekte waardeverm (-)	credit	Actief (vordering KT) [EIGEN/leerkracht]
409200	Teruggevraagde btw (op dubieuze)	debet	Actief (vordering KT) [EIGEN/leerkracht]
410000	Opgevraagd, niet-volgestort kapitaal	debet	Actief (vordering KT)
411000	Terug te vorderen B.T.W	debet	Actief (vordering KT)
411590	Aftrekbare btw (ABTW)	debet	Actief (vordering KT) [EIGEN/leerkracht]
411620	Btw herziening in het voordeel	debet	Actief (vordering KT) [EIGEN/leerkracht]
411630	Regularisatie aftrekbare btw (RABTW)	debet	Actief (vordering KT) [EIGEN/leerkracht]
412000	Terug te vorderen belastingen geraamd	debet	Actief (vordering KT)
412020	Terug te vorderen belastingen	debet	Actief (vordering KT) [EIGEN/leerkracht]
416000	Diverse vorderingen	debet	Actief (vordering KT)
418000	Waarborg	debet	Actief (vordering KT)
423000	Schulden > 1 jr die binnen het jaar vervallen	credit	Passief (schuld KT)
426000	Ontvangen vooruitbetalingen op bestellingen	credit	Passief (schuld KT)
430000	Kredietinstellingen – Leningen vaste termijn	credit	Passief (schuld KT)
433000	Kredietinstellingen	credit	Passief (schuld KT)
439000	Overige leningen (financiële schuld KT)	credit	Passief (schuld KT)
440000	Leveranciers	credit	Passief (schuld KT)
444000	Te ontvangen facturen	credit	Passief (schuld KT)
444100	Op te maken creditnota's	credit	Passief (schuld KT) [EIGEN/leerkracht]
450000	Geraamd bedrag der belastingschulden	credit	Passief (schuld KT)
451000	Te betalen B.T.W	credit	Passief (schuld KT)
451300	Te betalen btw – verlegd (medecontractant)	credit	Passief (schuld KT) [EIGEN/leerkracht]
451540	Verschuldigde btw (VBTW)	credit	Passief (schuld KT) [EIGEN/leerkracht]
451550	Te betalen btw – verlegd	credit	Passief (schuld KT) [EIGEN/leerkracht]
451560	Te betalen btw – intracommunautair	credit	Passief (schuld KT) [EIGEN/leerkracht]
451570	Te betalen btw – invoer	credit	Passief (schuld KT) [EIGEN/leerkracht]
451610	Btw herziening in het nadeel	credit	Passief (schuld KT) [EIGEN/leerkracht]
451640	Regularisatie verschuldigde btw (RVBTW)	credit	Passief (schuld KT) [EIGEN/leerkracht]
452000	Te betalen belastingen en taksen	credit	Passief (schuld KT)
453000	Ingehouden voorheffingen	credit	Passief (schuld KT)
454000	Rijksdienst voor Sociale Zekerheid	credit	Passief (schuld KT)
455000	Bezoldigingen	credit	Passief (schuld KT)
456000	Vakantiegeld	credit	Passief (schuld KT)
460000	Ontvangen vooruitbetalingen op bestellingen	credit	Passief (schuld KT)
470000	Schulden uit de bestemming van het resultaat	credit	Passief (schuld KT)
471000	Dividenden over het boekjaar	credit	Passief (schuld KT)
472000	Tantièmes over het boekjaar	credit	Passief (schuld KT)
473000	Andere rechthebbenden	credit	Passief (schuld KT)
474000	Terug te betalen aandelen	credit	Passief (schuld KT)
480000	Andere schulden	credit	Passief (schuld KT)
488000	Waarborg	credit	Passief (schuld KT)
489000	Andere diverse schulden	credit	Passief (schuld KT)
490000	Over te dragen kosten	debet	Overlopende rekening
491000	Verkregen opbrengsten	debet	Overlopende rekening
492000	Toe te rekenen kosten	credit	Overlopende rekening
493000	Over te dragen opbrengsten	credit	Overlopende rekening
499000	Wachtrekening afschrijvingen	credit	Overlopende rekening
510000	Aandelen	debet	Actief (geldbelegging / liquide middel)
510900	Aandelen – geboekte waardevermindering (-)	credit	Actief (geldbelegging / liquide middel) [EIGEN/leerkracht]
511000	Niet opgevraagde bedragen (-)	credit	Actief (geldbelegging / liquide middel)
519000	Geboekte waardeverm (-)	credit	Actief (geldbelegging / liquide middel)
530000	Termoijndeposito's > 1 jaar	debet	Actief (geldbelegging / liquide middel)
531000	Termijndeposito's > 1 maand en < 1 jaar	debet	Actief (geldbelegging / liquide middel)
532000	Op ten hoogste één maand	debet	Actief (geldbelegging / liquide middel)
539000	Geboekte waardeverm (-)	credit	Actief (geldbelegging / liquide middel)
540000	Te incasseren vervallen waarden	debet	Actief (geldbelegging / liquide middel)
550000	Kredietinstellingen	debet	Actief (geldbelegging / liquide middel)
550001	Uitgeschreven cheques (-)	credit	Actief (geldbelegging / liquide middel) [EIGEN/leerkracht]
